"sku","name","weight","manufacturer","shoes_size","shoe_type","color","category_ids","status","price","qty","visibility","tax_class_id","description","short_description","thumbnail","small_image","image","attribute_set","websites","store","type","is_in_stock","special_price","special_from_date","special_to_date"
"S52GIAY1358311012R1010",323,0,"dollyvn",37,"Giày cao gót","Hồng đậm","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_bce4f9418b2773001c9b778bd7ac4eb8.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1011",323,0,"dollyvn",38,"Giày cao gót","Hồng đậm","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_bce4f9418b2773001c9b778bd7ac4eb8.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1012",323,0,"dollyvn",39,"Giày cao gót","Hồng đậm","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_bce4f9418b2773001c9b778bd7ac4eb8.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1013",323,0,"dollyvn",40,"Giày cao gót","Hồng đậm","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_bce4f9418b2773001c9b778bd7ac4eb8.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1014",323,0,"dollyvn",34,"Giày cao gót","Da bóng","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng
Chiều cao : 9 cm
Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_1e7a9912d4339a091ca8b06bbc97b67f.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1015",323,0,"dollyvn",35,"Giày cao gót","Da bóng","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_1e7a9912d4339a091ca8b06bbc97b67f.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1016",323,0,"dollyvn",36,"Giày cao gót","Da bóng","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_1e7a9912d4339a091ca8b06bbc97b67f.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1017",323,0,"dollyvn",37,"Giày cao gót","Da bóng","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_1e7a9912d4339a091ca8b06bbc97b67f.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1018",323,0,"dollyvn",38,"Giày cao gót","Da bóng","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_1e7a9912d4339a091ca8b06bbc97b67f.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1019",323,0,"dollyvn",39,"Giày cao gót","Da bóng","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_1e7a9912d4339a091ca8b06bbc97b67f.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","Giay","base","admin","simple",1,,,
